Batch,Lot Number,ID
EMB23XD1299L623190P,62,1
EMB23XD4226L362400P,36,2
EMB23XD5228L372420P,37,3
EMB23XD15238L392530P,39,4
EMB23XD14240L402540P,40,5
EMB23XD1248L422620P,42,6
EMB23XD2250L432630P,43,7
MER23XD3252L442650P,44,8
EMB23XD4254L452660P,45,9
MER23XD6255L472680P,47,10
MER23XD7256L482690P,48,11
EMB23XD8256L492690P,49,12
MER23XD9257L502700P,50,13
EMB23XD10257L512710P,51,14
EMB23XD12259L532730P,53,15
EMB23XD13268L542830P,54,16
EMB23XD14268L552830P,55,17
EMB23XD15269L562850P,56,18
EMB23XD1273L572900P,57,19
EMB23XD2273L582910P,58,20
EMB23XD3278L592940P,59,21
EMB23XD4289L603040P,60,22
EMB23XD5289L613050P,61,23
EMB23XD4289L603044LP,60,24
MER23XD3252L442655P,44,25
EMB23XD4289L603044LP,60,26
EMB23XD5289L613054LP,61,27
EMB23XD4289L603044LP,60,28
EMB23XD5289L613054LP,61,29
EMB23XD4289L603044LP,60,30
EMB23XD4254L452665P,45,31
EMB23XD5254L462675P,46,32
MER23XD6255L472685P,47,33
MER23XD7256L482695P,48,34
EMB23XD8256L492695P,49,35
MER23XD9257L502705P,50,36
EMB23XD10257L512715P,51,37
EMB23XD9257L522725P,52,38
EMB23XD12259L532735P,53,39
EMB23XD13268L542835P,54,40
EMB23XD14268L552835P,55,41
EMB23XD15269L562855P,56,42
EMB23XD1273L572905P,57,43
EMB23XD2273L582915P,58,44
EMB23XD3278L592945P,59,45
EMB23XD4289L603045P,60,46
EMB23XD5289L613055P,61,47
EMB23XD13242L412556P,41,48
EMB23XD1248L422626P,42,49
EMB23XD2250L432636P,43,50
MER23XD3252L442656P,44,51
EMB23XD5254L462676P,46,52
EMB23XD4254L452666P,45,53
EMB23XD5254L462676P,46,54
MER23XD6255L472686P,47,55
MER23XD7256L482696P,48,56
EMB23XD8256L492696P,49,57
EMB23XD10257L512716P,51,58
EMB23XD12259L532736P,53,59
EMB23XD10257L512716P,51,60
EMB23XD9257L522726P,52,61
EMB23XD13268L542836P,54,62
EMB23XD14268L552836P,55,63
EMB23XD15269L562856P,56,64
EMB23XD1273L572906P,57,65
EMB23XD3278L592946P,59,66
EMB23XD4289L603046P,60,67
EMB23XD5289L613056P,61,68
RMN01016032D1L5823,58,69
EMB23TD12133L121597P,12,70
EMB23TD14135L141627P,14,71
